"Entidad de Derecho Público","Agencia Española de Protección de Datos","Agencia Española de Protección de Datos",Q2813014D,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=VHjMJTTb73Q%3D,"Jorge Juan, 6",28001,Madrid,España,913996207,915782109,contratacion@agpd.es
"Administración General del Estado","Ministerio de Educación, Política Social y Deporte","Agencia Estatal de Antidopaje",S2800578C,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=2BaOmTI2hDY%3D,"Ferraz, 2",28008,Madrid,España,917585750,917586109,gerencia@aea.gob.es
"Administración General del Estado","Ministerio de Medio Ambiente, y Medio Rural y Marino","Agencia para el Aceite de Oliva",Q2871011I,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=rs4AAVNwX5c%3D,"José Abascal 4, 7ª planta",28071,Madrid,España,913478401,914455123,Csanchezlain@mapya.es
"Otras Entidades del Sector Público","Ministerio de Medio Ambiente, y Medio Rural y Marino","Aguas de la Cuenca del Norte SA ACUANORTE",A74018441,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=zdI5roUE208%3D,"La regenta 23 bajo",33006,Oviedo,España,985208850,985213479,mrodriguez@acuanorte.es
"Administración Local","Ayuntamiento de Cortes y Graena (Granada)","Aguas Termales  de Graena S.A.",A18062547,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=P5EB0VFBLpY%3D,"San Antonio, 5",18517,"Cortes y Graena (Granada)",España,958670681,958670646,info@balneario-graena.com
"Administración Local","Ayuntamiento de Alfoz de Lloredo (Cantabria)","Alcadía Ayuntamiento de Alfoz de Lloredo ",P3900100C,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=7i%2FXvIMQVIc%3D,"Plaza Pio XII 150",39526,Novales,España,942726051,942726053,secretariamunicipal@alfozdelloredo.org
"Administración Local","Ayuntamiento Castrillo Matajudios","Alcaldía de Castrillo Matajudios",P0909300F,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=849dE0V9smY%3D,"Plaza Mayor, 1",09017,"Castrillo Matajudios",España,947377174,947377174,cmatajudios@aytos.diputaciondeburgos.es
"Administración Local","Entidad Local Autónoma de Ventas de Zafarraya (Granada)","Alcaldía de la Entidad Local Autónoma de Ventas de Zafarraya (Granada)",P1800041D,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=Turfc69fTKo%3D,"Plaza Santo Domingo de Guzmán 1",18125,"Ventas de Zafarraya (Granada)",España,958362000,958362237,elavaventas@alhama.org
"Administración Local","Ayuntamiento de Magaz del Pisuerga (Palencia)","Alcaldía de Magaz del Pisuerga ",P3409800D,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=SkUH9FAms1M%3D,"Plaza de España, 3",34220,"Magaz del Pisuerga (Palencia)",España,979784001,979784160,secretario@magazdepisuerga.es
"Administración Local","Ayuntamiento de Roda de Ter (Barcelona)","Alcaldía de Roda de Ter",P0818200H,Catalán,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=MzDE7uwX6Lk%3D,"Plaça Major, 4",08510,"Roda de Ter",España,938500075,938540931,ajdespatx@rodadeter.cat
"Administración Local","Santa Cruz de la Salceda","Alcaldía de Santa Cruz de la Salceda",P0935600G,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=t8ZfzHBTaoo%3D,"Plaza Mayor, 1",09471,"Santa Cruz de la Salceda",España,,,aytocruzsalceda@terra.es
"Administración Local","Ayuntamiento de Molacillos (Zamora)","Alcaldía del  Ayuntamiento de Molacillos",P4913300B,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=oF3NTLwyyA4%3D,"Pz. Arzobispo Mayoral, 1",49120,"Molacillos (Zamora)",España,980502136,980502136,aytomolacillos@terra.es
"Administración Local","Ayuntamiento de Villarrobledo (Albacete)","Alcaldía del  Ayuntamiento de Villarrobledo",P0208100H,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=4DQTLPM9Dus%3D,"Plaza de Ramón y Cajal, 1",02600,"Villarrobledo (Albacete)",España,967140404,967145193,jmcorrea@villarrobledo.com
"Administración Local","Ajuntament de Les Cabanyes (Barcelona)","Alcaldía del Ajuntament  de Les Cabanyes",P0802700E,Catalán,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=bPQ4X6uQQV4%3D,"Bisbe Torras i Bages, 6",08794,"Les Cabanyes (Barcelona)",España,938921048,938921048,cabanyes@diba.cat
"Administración Local","Ayuntamiento de San Cristóbal de Entreviñas (Zamora)","ALcaldía del Ayuntamiento  San Cristóbal de Entreviñas ",P4920800B,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=64fEKKafiJg%3D,"Calvario, 1",49690,"San Cristóbal de Entreviñas (Zamora)",España,980643505,980643505,aaytosancristobal@wanadoo.es
"Administración Local","Ayuntamiento de Abia de las Torres (Palencia)","Alcaldía del Ayuntamiento de Abia de las Torres ",P3400300D,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=upnkMZ2qcDo%3D,"Plaza Mayor s/n",34491,"Abia de las Torres ",España,,,ayto-abia@dip-palencia.es
"Administración Local","Ayuntamiento de Agaete (Las Palmas)","Alcaldía del Ayuntamiento de Agaete (Las Palmas)",P3500100G,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=vXauSgvtL%2BQ%3D,"Antonio Armas 1",35480,"Agaete (Las Palmas)",España,928898002,928898605,agaete@aytoagaete.es
"Administración Local","Ayuntamiento de Agoncillo (La Rioja)","Alcaldía del Ayuntamiento de Agoncillo",P2600200F,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=H8kF7K2osM8%3D,"Plaza del Castillo 15",26160,Agoncillo,España,941431007,941431315,contratacion@aytoagoncillo.org
"Administración Local","Ayuntamiento de Aguilar de Campoo (Palencia)","Alcaldía del Ayuntamiento de Aguilar de Campoo",P3400400B,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=pKYgE9%2B6tyM%3D,"Modesto Lafuente, 1",34800,"Aguilar de Campoo",España,979122005,979125710,ayuntamiento@aguilardecampoo.es
"Administración Local","Ayuntamiento de Ajamil de Cameros (La Rioja)","Alcaldía del Ayuntamiento de Ajamil de Cameros ",P2600400B,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=25DCvTqlRDE%3D,"Plaza Eusebio Pablo Muela 1",26133,"Ajamil de Cameros ",España,941464006,,aytohornillosdecameros@yahoo.es
"Administración Local","Ayuntamiento de Alba de Cerrato (Palencia)","Alcaldía del Ayuntamiento de Alba de Cerrato",P3400600G,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=7heUWzW2rCI%3D,"Plaza Mayor, 1",34219,"Alba de Cerrato (Palencia)",España,979782456,979782456,ismaelpuentes@gmail.com
"Administración Local","Ayuntamiento de Albalat dels Sorells (Valencia)","Alcaldía del Ayuntamiento de Albalat dels Sorells",P4600900G,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=PphJkpwYwCI%3D,"Plaça El Castel, 2",46135," Albalat dels Sorells (Valencia)",España,961490091,961494636,asorells_sec@gva.es
"Administración Local","Ayuntamiento de Albalat dels Tarongers (Valencia)","Alcaldía del Ayuntamiento de Albalat dels Tarongers",P4601000E,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=n%2BACMDlN3Dc%3D,"Plaza Pla del Molí, 1",46591,"Albalat dels Tarongers (Valencia)",España,962628212,962628213,secretaria@albalatdelstarongers.net
"Administración Local","Ayuntamiento de Albondón (Granada)","Alcaldía del Ayuntamiento de Albondón ",P1800500I,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=q4P3p%2B3YSIk%3D,"Plaza de la Constitución",18708,"Albondón (Granada)",España,958826006,958826726,albondon@dipgra.es
"Administración Local","Ayuntamiento de Albuixech (Valencia)","Alcaldía del Ayuntamiento de Albuixech",P4601400G,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=%2BGkqKHkFJpY%3D,"Plaça de l'Ajuntament, 1",46550,"Albuixech (Valencia)",España,961400601,961401284,secretaria@albuixech.es
"Administración Local","Ayuntamiento de Alcolea de Tajo (Toledo)","Alcaldía del Ayuntamiento de Alcolea de Tajo ",P4500700B,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=Y%2FLCVqZM1C0%3D,"Pza. Agustín Contreras 1",45571,"Alcolea de Tajo (Toledo)",España,925436325,925436278,ayuntamiento@alcoleadetajo.es
"Administración Local","Ayuntamiento de Aldeamayor de San Martín (Valladolid)","Alcaldía del Ayuntamiento de Aldeamayor de San Martín ",P4700700J,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=HLFVbWmuOdU%3D,"Plaza Mayor 1",47162,"Aldeamayor de San Martín ",España,983558195,983558210,secretaria.aldeamayor@dip-valladolid.es
"Administración Local","Ayuntamiento de Algarrobo (Málaga)","Alcaldía del Ayuntamiento de Algarrobo",P2900500F,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=RfWAKvzJrJE%3D,"Antonio Ruiz Rivas, 2",29750,"Algarrobo (Málaga)",España,952552477,952552423,secretaria@algarrobo.es
"Administración Local","Ayuntamiento de Algeciras (Cádiz)","Alcaldía del Ayuntamiento de Algeciras",P1100400I,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=%2Bk25nKlgb6U%3D,"Alfonso XI 12",11201,Algeciras,España,956672728,956672740,contratacion@ayto-algeciras.es
"Administración Local","Ayuntamiento de Algorfa (Alicante)","Alcaldía del Ayuntamiento de Algorfa ",P0301200B,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=Odx5wY9WeYY%3D,"Plaza de España 20",03169,Algorfa,España,965700146,966780010,srico@algorfa.es
"Administración Local","Ayuntamiento de Alguazas (Murcia)","Alcaldía del Ayuntamiento de Alguazas",P3000700I,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=z9V2ZgiaDR4%3D,"Plaza D. Enrique Tierno Galván, 1",30560,"Alguazas (Murcia)",España,968620022,968620412,contratacion@alguazas.es
"Administración Local","Ayuntamiento de Allande (Principado de Asturias)","Alcaldía del Ayuntamiento de Allande (Principado de Asturias)",P3300100I,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=oGDgdonbs7o%3D,"Donato Fernández 2",33880,"Pola de Allande (Principado de Asturias)",España,985807004,985807342,oficinasgenerales@allande.org
"Administración Local","Ayuntamiento de Aller","Alcaldía del Ayuntamiento de Aller",P3300200G,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=YTuNggdpbQA%3D,"c/ Constitución",33686,Cabañaquinta,España,,,contratacion@aller.es
"Administración Local","Ayuntamiento de Almedina (Ciudad Real)","Alcaldía del Ayuntamiento de Almedina ",P1301400F,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=i%2FmyuaxpVCM%3D,"Plaza Mayor 1",13328,"Almedina (Ciudad Real)",España,926356427,926356427,secretariaalmedina@gmail.com
"Administración Local","Ayuntamiento de Almonacid de Toledo (Toledo)","Alcaldía del Ayuntamiento de Almonacid de Toledo",P4501200B,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=Te%2FgW4OBsYc%3D,"Plaza de la Constitución, 1",45420,"Almonacid de Toledo (Toledo)",España,925314001,925314099,contratacion@almonaciddetoledo.es
"Administración Local","Ayuntamiento de Almonaster La Real (Huelva)","Alcaldía del Ayuntamiento de Almonaster La Real ",P2100400G,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=bm%2FUVV9eFRo%3D,"Plaza de la Constitución 1",21350,"Almonaster La Real (Huelva)",España,959143003,959143085,desarrollo@almonasterlareal.com
"Administración Local","Ayuntamiento de Álora (Málaga)","Alcaldía del Ayuntamiento de álora",P2901200B,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=xxcHL1u1ehw%3D,"Plaza de la Fuente Arriba, 15",29500,"Álora (Málaga)",España,952496100,952497100,contratacion@alora.es
"Administración Local","Ayuntamiento de Amieva","Alcaldía del Ayuntamiento de Amieva",P3300300E,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=m0jWyHKJWWw%3D,Predenci,33558,Amieva,España,985944676,985944653,aytoamieva@telefonica.net
"Administración Local","Ayuntamiento de Ampudia (Palencia)","Alcaldía del Ayuntamiento de Ampudia ",P3401000I,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=6B7hUU7gQlw%3D,"Plaza de San Miguel 2",34191,Ampudia,España,979768025,979768316,secretaria.ayot@ampudia.es
"Administración Local","Ayuntamiento de Ampuero (Cantabria)","Alcaldía del Ayuntamiento de Ampuero",P3900200A,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=HHzVYF6IftM%3D,"La Cruz 1",39840,Ampuero,España,942622061,942622372,ayto.ampuero@telefonica.net
"Administración Local","Ayuntamiento de Amusco (Palencia)","Alcaldía del Ayuntamiento de Amusco ",P3401100G,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=R%2BmO7pF%2BZJc%3D,"Plaza Obispo Germán Vega, 1",34420,"Amusco (Palencia)",España,979802033,979802033,ayto-amusco@dip-palencia.es
"Administración Local","Ayuntamiento de Anguciana (La Rioja)","Alcaldía del Ayuntamiento de Anguciana ",P2601300C,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=RIoBdktaj2s%3D,"Plaza de la Constitución 1",26210,"Anguciana ",España,941320003,941302636,ayuntamiento@anguciana.org
"Administración Local","Ayuntamiento de Arboleas (Almería)","Alcaldía del Ayuntamiento de Arboleas",P0401700J,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=6%2B%2B9x2ql22o%3D,"Plaza de España, 1",04660,"Arboleas (Almería)",España,950449430,950449437,santonga@arboleas.es
"Administración Local","Ayuntamiento de Arenas de Iguña (Cantabria)","Alcaldía del Ayuntamiento de Arenas de Iguña",P3900400G,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=2PO7d%2FNtZTY%3D,"Plaza Alfonso XIII, 158",39450,"Arenas de Iguña (Cantabria)",España,942826019,942826510,secretario@aytoarenasdeiguna.org
"Administración Local","Ayuntamiento de Armuña (Segovia)","Alcaldía del Ayuntamiento de Armuña (Segovia)",P4002400B,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=8iabeIqmt4o%3D,"Plaza de la Constitución 1",40494,"Armuña ",España,921566001,921566001,aytoarmura@terra.es
"Administración Local","Ayuntamiento de Arquillos (Jaén)","Alcaldía del Ayuntamiento de Arquillos ",P2300800F,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=C1MGMSauV8w%3D,"Avda. Andalucía 3",23230,"Arquillos ",España,953633000,953633236,arquillos@promojaen.es
"Administración Local","Ayuntamiento de Arrabalde (Zamora)","Alcaldía del Ayuntamiento de Arrabalde ",P4901600I,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=vI%2BvOFC1Wao%3D,"Larga, 1",49696,"Arrabalde (Zamora)",España,980646425,980646425,aytoarrabalde@macovall.net
"Administración Local","Ayuntamiento de Arredondo (Cantabria)","Alcaldía del Ayuntamiento de Arredondo ",P3900700J,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=gWmOxgFzFts%3D,"Gutierrez Solana 2",39812,Arredondo,España,942678037,942678037,ayto.arredondo@gmail.com
"Administración Local","Ayuntamiento de Arroyo de la Encomienda (Valladolid)","Alcaldía del Ayuntamiento de Arroyo de la Encomienda",P4701100B,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=jmgaQxCUHFg%3D,"Plaza de España 1",47195,"Arroyo de la Encomienda",España,983407888,983407547,contratacion@aytoarroyo.org
"Administración Local","Ayuntamiento de Astillero (Cantabria)","Alcaldía del Ayuntamiento de Astillero ",P3900800H,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=OT%2BHTA8iwBQ%3D,"San José 10",39610,"Astillero (Cantabria)",España,942077000,942077025,secretario@astillero.es
"Administración Local","Ayuntamiento de Astudillo","Alcaldía del Ayuntamiento de Astudillo",P3401700D,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=IK9Y%2Bf7HNsA%3D,"Plaza de Abillo Calderón, 1",34450,Astudillo,España,979822033,979822471,secretario@astudillo.es
"Administración Local","Ayuntamiento de Autilla del Pino (Palencia)","Alcaldía del Ayuntamiento de Autilla del Pino",P3401800B,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=%2B7kMvJAePX8%3D,"Plaza de España, 1",34170,"Autilla del Pino",España,979769085,979769085,ayto-autilla@dip-palencia.es
"Administración Local","Ayuntamiento de Avilés","Alcaldía del Ayuntamiento de Avilés",P3300400C,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=UUQ3%2FPf6xd0%3D,"Plaza de España, 1",33402,"Avilés, Asturias",España,985122146,985540751,pcoronas@ayto-aviles.es
"Administración Local","Ayuntamiento de Ayllón (Segovia)","Alcaldía del Ayuntamiento de Ayllón",P4002600G,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=E7uVsX7H8qE%3D,"Plaza Mayor 1",40520,Ayllón,España,921553000,921553336,ayuntamiento@ayllon.es
"Administración Local","Ayuntamiento de Ayuela (Palencia)","Alcaldía del Ayuntamiento de Ayuela",P3402000H,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=StHwj0dC4oE%3D,"Calle Mayor, 36",34473,Ayuela,España,979895336,,ayto-ayuela@dip-palencia.es
"Administración Local","Ayuntamiento de Bailén (Jaén)","Alcaldía del Ayuntamiento de Bailén ",P2301000B,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=TZdbccP7pIE%3D,"Plaza de la Constitución 1",23710,"Bailén (Jaén)",España,953678540,953671205,aduque.secretaria@ayto-bailen.org
"Administración Local","Ayuntamiento de Baleira (Lugo)","Alcaldía del Ayuntamiento de Baleira ",P2700400A,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=gUA0c%2BIUXRc%3D,"Avda. Dr. Escobar s/n",27130,Cádavo,España,982354059,982354039,concello.baleira@eidolocal.es
"Administración Local","Ayuntamiento de Banyeres de Mariola (Alicante)","Alcaldía del Ayuntamiento de Banyeres de Mariola ",P0302100C,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=Kq%2Bsn%2BSMUKg%3D,"PlaÇa de l'ajuntament 1",03450,"Banyeres de Mariola",España,966567315,965566668,secreataria1@portademariola.com
"Administración Local","Ayuntamiento de Bareyo","Alcaldía del Ayuntamiento de Bareyo",P3901100B,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=lNLhfTo%2FN9o%3D,"Avenida Benedcitor Ruiz, 323",39170,Ajo,España,942621041,942670622,secretaria@aytobareyo.org
"Administración Local","Ayuntamiento de Barruelo de Santullán (Palencia)","Alcaldía del Ayuntamiento de Barruelo de Santullán ",P3402700C,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=2xeQazpkpFY%3D,"Plaza de España 1",34820,"Barruelo de Santullán (Palencia)",España,979606014,979606344,ayto-barruelo@dip-palencia.es
"Administración Local","Ayuntamiento de Becerril de Campos (Palencia)","Alcaldía del Ayuntamiento de Becerril de Campos (Palencia)",P3402900I,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=b3GptBDmLls%3D,"Plaza Mayor, 1",34310,"Becerril de Campos (Palencia)",España,,,ayto-becerril@dip-palencia.es
"Administración Local","Ayuntamiento de Belianes (Lleida)","Alcaldía del Ayuntamiento de Belianes",P2500550E,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=OfS5lsaS4Ng%3D,"Plaça de L'ajuntament",25266,Belianes,España,973330139,973331047,ajuntament@belianes.cat
"Administración Local","Ayuntamiento de Belmonte de Tajo","Alcaldía del Ayuntamiento de Belmonte de Tajo",P2801900H,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=DZzH6ZIC%2Fqk%3D,"Plaza de la Constitución",28390,"Belmonte de Tajo",España,918747215,918747120,belmontedetajo@madrid.org
"Administración Local","Ayuntamiento de Benafarces","Alcaldía del Ayuntamiento de Benafarces",P4701700I,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=nmQiDzmXr%2FI%3D,"Plaza Mayor, 1",47880,"Benafarces (Valladolid)",España,,,ayto.benafarces@dipvalladolid.es
"Administración Local","Ayuntamiento de Benafardes (Valladolid)","Alcaldía del Ayuntamiento de Benafardes ",P4701700I,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=ntEGXH06yvw%3D,"Plaza Mayor 1",47880,Benafarces,España,983791609,,ayto.benafarces@dip-valladolid.es
"Administración Local","Ayuntamiento de Beniatjar (Valencia)","Alcaldía del Ayuntamiento de Beniatjar",P4605600H,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=835KXDxmNec%3D,"San Roque, 19",46844,"Beniatjar (Valencia)",España,962358150,962358075,beniatjar_alc@gva.es
"Administración Local","Ayuntamiento de Benifairó de les Valls (Valencia)","Alcaldía del Ayuntamiento de Benifairó de les Valls",P4605800D,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=30qB9l%2FRZzg%3D,"Plaza Ajuntament, 1",46511,"Benifairó de les Valls (Valencia)",España,962600937,962600257,b_vallsalc@gva.es
"Administración Local","Ayuntamiento de Bernardos (Segovia)","Alcaldía del Ayuntamiento de Bernardos",P4003300C,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=V95qwfbU3Rc%3D,"Plaza Mayor 1",40430,"Bernardos (Segovia)",España,921566051,921566990,secretaria@bernardos.es
"Administración Local","Ayuntamiento de Boadilla de Rioseco (Palencia)","Alcaldía del Ayuntamiento de Boadilla de Rioseco",P3403500F,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=m4ceUDOE%2BM8%3D,"Plaza del Ayuntamiento, 1",34349,"Boadilla de Rioseco",España,979848033,979848033,ayto-boadillarioseco@dip-palencia.es
